0,5,5
0,10,5
0,15,3
0,18,3
0,23,3
0,26,3
0,27,3
0,30,3
0,31,4
0,36,4
0,45,4
0,47,5
0,48,5
0,51,2
0,56,5
0,59,3
0,66,3
0,69,3
0,70,3
0,72,3
0,76,2
0,83,3
1,0,4
1,3,3
1,5,8
1,7,3
1,10,4
1,11,3
1,17,4
1,20,3
1,25,4
1,30,5
1,33,3
1,34,2
1,38,3
1,47,7
1,51,4
1,52,2
1,68,3
1,83,5
1,85,5
1,89,1
1,94,3
2,11,3
2,21,3
2,27,4
2,30,4
2,33,3
2,34,3
2,35,4
2,36,3
2,37,4
2,38,3
2,42,5
2,47,3
2,48,2
2,52,3
2,54,2
2,65,1
2,79,3
2,85,6
2,93,2
2,97,2
3,5,2
3,8,3
3,18,3
3,30,3
3,35,3
3,37,3
3,38,4
3,41,3
3,49,3
3,63,3
3,67,3
3,74,5
3,77,3
4,3,3
4,7,2
4,12,3
4,14,3
4,25,5
4,33,2
4,34,3
4,36,3
4,53,4
4,68,3
4,72,5
4,74,3
4,85,5
5,8,3
5,9,4
5,10,6
5,13,5
5,19,3
5,20,4
5,22,3
5,24,3
5,27,4
5,30,4
5,31,3
5,36,3
5,44,3
5,47,5
5,49,3
5,56,5
5,59,6
5,65,4
5,66,3
5,67,3
5,71,3
5,72,4
5,76,4
5,79,2
5,82,3
5,83,6
5,84,3
5,85,3
5,88,3
5,93,5
5,95,3
5,97,4
6,2,2
6,3,4
6,5,4
6,7,3
6,11,3
6,13,4
6,15,4
6,17,5
6,18,4
6,20,4
6,21,3
6,24,3
6,28,3
6,31,5
6,37,3
6,38,2
6,41,3
6,42,3
6,45,5
6,48,3
6,49,4
6,57,5
6,59,3
6,60,2
6,70,4
6,71,3
6,73,2
6,75,2
6,83,2
6,85,4
7,3,3
7,4,3
7,18,2
7,30,3
7,35,2
7,38,3
7,41,2
7,48,2
7,51,3
7,56,3
7,66,3
7,71,2
7,74,3
7,75,3
7,76,3
7,78,3
7,85,3
7,90,3
8,3,2
8,4,4
8,7,3
8,11,4
8,14,3
8,16,4
8,18,2
8,21,3
8,23,3
8,28,3
8,31,3
8,35,2
8,37,3
8,53,2
8,56,6
8,62,2
8,63,3
8,65,2
8,78,3
8,84,4
8,85,3
8,86,3
8,90,3
9,2,4
9,5,5
9,13,4
9,14,3
9,15,2
9,18,4
9,20,3
9,21,5
9,25,6
9,26,2
9,32,4
9,35,2
9,47,4
9,52,3
9,56,5
9,57,2
9,61,3
9,62,3
9,67,3
9,69,5
9,70,5
9,71,2
9,79,3
9,85,2
10,0,4
10,2,4
10,5,4
10,12,3
10,15,3
10,18,3
10,23,2
10,27,2
10,30,4
10,34,4
10,36,4
10,37,3
10,38,4
10,48,3
10,56,6
10,67,4
10,70,3
10,78,4
10,80,4
10,83,3
10,85,4
10,94,3
11,7,5
11,18,1
11,23,4
11,25,3
11,28,3
11,30,4
11,31,3
11,32,3
11,48,2
11,52,3
11,57,5
11,62,4
11,75,3
12,11,3
12,14,4
12,17,3
12,35,3
12,37,2
12,41,3
12,43,3
12,48,3
12,56,4
12,62,2
12,63,3
12,69,2
12,71,2
12,74,2
12,78,2
12,85,3
13,5,3
13,9,4
13,10,4
13,21,4
13,34,4
13,36,3
13,45,4
13,48,5
13,56,4
13,57,3
13,59,3
13,62,4
13,64,2
13,67,4
13,70,4
13,71,4
13,76,6
13,82,4
13,86,3
13,88,4
13,93,3
13,94,6
13,95,2
14,11,2
14,15,2
14,17,4
14,18,4
14,28,3
14,30,2
14,32,2
14,34,3
14,48,3
14,52,4
14,71,3
14,72,4
14,78,2
14,84,4
14,93,2
15,5,4
15,10,2
15,13,2
15,17,6
15,19,3
15,22,3
15,23,2
15,25,4
15,26,3
15,30,3
15,31,3
15,33,4
15,34,4
15,37,5
15,38,5
15,41,4
15,42,4
15,45,4
15,51,3
15,53,3
15,56,4
15,65,3
15,67,3
15,75,4
15,80,5
15,83,2
15,93,2
15,94,4
15,97,3
16,3,2
16,7,3
16,15,2
16,21,3
16,23,3
16,28,3
16,41,5
16,56,3
16,63,3
16,66,3
16,71,2
16,85,3
17,5,4
17,10,3
17,14,3
17,18,3
17,21,2
17,26,3
17,28,3
17,30,3
17,57,3
17,63,3
17,74,2
17,85,4
17,87,3
18,3,4
18,8,7
18,14,3
18,17,4
18,21,2
18,29,3
18,34,2
18,38,3
18,40,1
18,48,3
18,51,3
18,56,2
18,62,4
18,71,1
18,74,3
18,84,3
18,85,3
19,0,5
19,4,4
19,7,3
19,8,3
19,9,3
19,10,3
19,15,3
19,18,6
19,20,4
19,21,4
19,24,4
19,27,3
19,28,3
19,30,2
19,32,3
19,33,5
19,34,4
19,38,4
19,41,3
19,45,4
19,59,4
19,62,4
19,66,4
19,69,5
19,71,3
19,73,2
19,74,3
19,76,4
19,78,3
19,85,5
19,90,6
19,93,2
19,97,4
20,0,3
20,1,4
20,10,3
20,15,4
20,21,5
20,26,5
20,27,3
20,28,2
20,40,4
20,47,6
20,51,2
20,59,3
20,61,3
20,73,3
20,74,3
20,75,2
20,87,3
21,2,3
21,5,2
21,7,3
21,9,3
21,10,5
21,13,2
21,15,5
21,25,3
21,28,3
21,30,4
21,41,3
21,42,4
21,45,4
21,46,2
21,59,3
21,62,4
21,67,3
21,71,4
21,72,3
21,73,3
21,74,3
21,80,3
21,82,4
21,84,3
21,89,5
21,91,3
21,97,4
22,7,4
22,9,4
22,10,3
22,13,4
22,15,3
22,16,2
22,18,3
22,24,4
22,26,5
22,28,4
22,30,2
22,32,5
22,34,5
22,40,4
22,42,3
22,45,4
22,56,3
22,59,5
22,60,4
22,62,3
22,74,3
22,80,3
22,84,3
22,85,3
22,88,2
22,89,3
22,93,4
22,96,2
22,98,2
23,12,2
23,16,4
23,25,3
23,28,2
23,30,3
23,35,3
23,49,3
23,52,3
23,55,2
23,57,2
23,59,2
23,62,3
23,65,3
23,71,5
23,72,3
23,74,2
23,78,3
23,90,2
24,3,4
24,12,3
24,16,4
24,21,3
24,22,3
24,26,4
24,30,4
24,33,5
24,34,6
24,35,3
24,38,5
24,42,2
24,43,3
24,44,4
24,46,3
24,49,4
24,53,3
24,54,4
24,55,3
24,56,2
24,59,3
24,60,4
24,62,3
24,63,3
24,67,4
24,71,5
24,76,4
24,77,2
24,84,2
24,87,4
24,89,2
24,91,4
25,8,6
25,18,3
25,28,4
25,30,3
25,31,2
