0.23, 1.83
0.3, 1.73
0.13, 1.17
0.10, 1.10
0.20, 1.13
0.27, 1.11
0.37, 1.12
0.43, 1.15
0.17, 1.01
0.23, 0.98
0.33, 1.01
0.33, 0.99
0.37, 0.96
0.40, 0.99
0.3, 0.90
0.37, 0.80
0.23, 0.86
0.13, 0.91
0.17, 0.81
0.23, 0.72
0.30, 0.69
0.20, 0.63
0.17, 0.54
0.26, 0.56
0.34, 0.59
0.23, 0.44
0.30, 0.44
0.37, 0.47
0.45, 0.39
0.40, 0.38
0.34, 0.36
0.29, 0.32
0.24, 0.29
0.19, 0.33
0.14, 0.37
0.08, 0.38
0.09, 0.28
0.12, 0.21
0.16, 0.19
0.20, 0.18
0.23, 0.17
0.27, 0.19
0.31, 0.16
0.34, 0.18
0.37, 0.20
0.41, 0.22
0.44, 0.27
0.45, 0.11
0.39, 0.10
0.33, 0.07
0.27, 0.04
0.21, 0.09
0.15, 0.11
0.09, 0.12
