!!SBtab	SBtabVersion='1.0' Document='Nair_2016_optimized' TableName='Reaction' TableTitle='Reaction' TableType = 'Reaction'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R42	ReactionFlux42	kf_R42*PDE4_cAMP	0	Spine	PDE4_cAMP <=> PDE4 + AMP
R43	ReactionFlux43	kf_R43*PDE10r*cAMP^2-kr_R43*PDE10c	1	Spine	PDE10r + 2 cAMP <=> PDE10c
R44	ReactionFlux44	kf_R44*PDE10r_cAMP	0	Spine	PDE10r_cAMP <=> PDE10r + AMP
R45	ReactionFlux45	kf_R45*cAMP*PDE10r-kr_R45*PDE10r_cAMP	1	Spine	cAMP + PDE10r <=> PDE10r_cAMP
R46	ReactionFlux46	kf_R46*PDE10c_cAMP	0	Spine	PDE10c_cAMP <=> PDE10c + AMP
R47	ReactionFlux47	kf_R47*GaolfGDP*Gbgolf	0	Spine	GaolfGDP + Gbgolf <=> Golf
R48	ReactionFlux48	kf_R48*AC5_GaolfGTP*ATP-kr_R48*AC5_GaolfGTP_ATP	1	Spine	AC5_GaolfGTP + ATP <=> AC5_GaolfGTP_ATP
R49	ReactionFlux49	kf_R49*AC5*ATP-kr_R49*AC5_ATP	1	Spine	AC5 + ATP <=> AC5_ATP
R50	ReactionFlux50	kf_R50*AC5_Ca*ATP-kr_R50*AC5_Ca_ATP	1	Spine	AC5_Ca + ATP <=> AC5_Ca_ATP
R51	ReactionFlux51	kf_R51*AC5_Ca_GaolfGTP*ATP-kr_R51*AC5_Ca_GaolfGTP_ATP	1	Spine	AC5_Ca_GaolfGTP + ATP <=> AC5_Ca_GaolfGTP_ATP
R52	ReactionFlux52	kf_R52*GaolfGTP*AC5_ATP-kr_R52*AC5_GaolfGTP_ATP	1	Spine	GaolfGTP + AC5_ATP <=> AC5_GaolfGTP_ATP
R53	ReactionFlux53	kf_R53*GaolfGTP*AC5_Ca_ATP-kr_R53*AC5_Ca_GaolfGTP_ATP	1	Spine	GaolfGTP + AC5_Ca_ATP <=> AC5_Ca_GaolfGTP_ATP
R54	ReactionFlux54	kf_R54*Ca*AC5_ATP-kr_R54*AC5_Ca_ATP	1	Spine	Ca + AC5_ATP <=> AC5_Ca_ATP
R55	ReactionFlux55	kf_R55*AC5_GaolfGTP_ATP	0	Spine	AC5_GaolfGTP_ATP <=> cAMP + AC5_GaolfGTP
R56	ReactionFlux56	kf_R56*cAMP*AC5_GaolfGTP	0	Spine	cAMP + AC5_GaolfGTP <=> AC5_GaolfGTP_ATP
R57	ReactionFlux57	kf_R57*AC5_ATP	0	Spine	AC5_ATP <=> cAMP + AC5
R58	ReactionFlux58	kf_R58*cAMP*AC5	0	Spine	cAMP + AC5 <=> AC5_ATP
R59	ReactionFlux59	kf_R59*AC5_Ca_ATP	0	Spine	AC5_Ca_ATP <=> cAMP + AC5_Ca
R60	ReactionFlux60	kf_R60*cAMP*AC5_Ca	0	Spine	cAMP + AC5_Ca <=> AC5_Ca_ATP
R61	ReactionFlux61	kf_R61*AC5_Ca_GaolfGTP_ATP	0	Spine	AC5_Ca_GaolfGTP_ATP <=> cAMP + AC5_Ca_GaolfGTP
R62	ReactionFlux62	kf_R62*cAMP*AC5_Ca_GaolfGTP	0	Spine	cAMP + AC5_Ca_GaolfGTP <=> AC5_Ca_GaolfGTP_ATP
R63	ReactionFlux63	kf_R63*AC5_GaolfGTP	0	Spine	AC5_GaolfGTP <=> AC5 + GaolfGDP
R64	ReactionFlux64	kf_R64*AC5_Ca_GaolfGTP	0	Spine	AC5_Ca_GaolfGTP <=> AC5_Ca + GaolfGDP
R65	ReactionFlux65	kf_R65*AC5_GaolfGTP_ATP	0	Spine	AC5_GaolfGTP_ATP <=> AC5_ATP + GaolfGDP
R66	ReactionFlux66	kf_R66*AC5_Ca_GaolfGTP_ATP	0	Spine	AC5_Ca_GaolfGTP_ATP <=> AC5_Ca_ATP + GaolfGDP
R67	ReactionFlux67	kf_R67*D1R*Golf-kr_R67*D1R_Golf	1	Spine	D1R + Golf <=> D1R_Golf
R68	ReactionFlux68	kf_R68*Golf*D1R_DA-kr_R68*D1R_Golf_DA	1	Spine	Golf + D1R_DA <=> D1R_Golf_DA
R69	ReactionFlux69	kf_R69*cAMP*PDE10c-kr_R69*PDE10c_cAMP	1	Spine	cAMP + PDE10c <=> PDE10c_cAMP
R70	ReactionFlux70	kf_R70*CaMKII*CaM_Ca4-kr_R70*CaMKII_CaM_Ca4	1	Spine	CaMKII + CaM_Ca4 <=> CaMKII_CaM_Ca4
R71	ReactionFlux71	kf_R71*CaM_Ca2*CaMKII-kr_R71*CaMKII_CaM_Ca2	1	Spine	CaM_Ca2 + CaMKII <=> CaMKII_CaM_Ca2
R72	ReactionFlux72	kf_R72*CaM*CaMKII-kr_R72*CaMKII_CaM	1	Spine	CaM + CaMKII <=> CaMKII_CaM
R73	ReactionFlux73	kf_R73*CaMKII_CaM_Ca2*Ca-kr_R73*CaMKII_CaM_Ca4	1	Spine	CaMKII_CaM_Ca2 + Ca <=> CaMKII_CaM_Ca4
R74	ReactionFlux74	kf_R74*CaMKII_CaM*Ca-kr_R74*CaMKII_CaM_Ca2	1	Spine	CaMKII_CaM + Ca <=> CaMKII_CaM_Ca2
R75	ReactionFlux75	kf_R75*pCaMKII_CaM_Ca2*Ca-kr_R75*pCaMKII_CaM_Ca4	1	Spine	pCaMKII_CaM_Ca2 + Ca <=> pCaMKII_CaM_Ca4
R76	ReactionFlux76	kf_R76*pCaMKII_CaM*Ca-kr_R76*pCaMKII_CaM_Ca2	1	Spine	pCaMKII_CaM + Ca <=> pCaMKII_CaM_Ca2
R77	ReactionFlux77	kf_R77*pCaMKII*CaM_Ca4-kr_R77*pCaMKII_CaM_Ca4	1	Spine	pCaMKII + CaM_Ca4 <=> pCaMKII_CaM_Ca4
R78	ReactionFlux78	kf_R78*pCaMKII*CaM_Ca2-kr_R78*pCaMKII_CaM_Ca2	1	Spine	pCaMKII + CaM_Ca2 <=> pCaMKII_CaM_Ca2
R79	ReactionFlux79	kf_R79*pCaMKII*CaM-kr_R79*pCaMKII_CaM	1	Spine	pCaMKII + CaM <=> pCaMKII_CaM
R80	ReactionFlux80	kf_R80*ARPP21*PKAc-kr_R80*PKAc_ARPP21	1	Spine	ARPP21 + PKAc <=> PKAc_ARPP21
R81	ReactionFlux81	kf_R81*PKAc_ARPP21	0	Spine	PKAc_ARPP21 <=> PKAc + pARPP21
R82	ReactionFlux82	kf_R82*pARPP21*CaM_Ca4-kr_R82*CaM_Ca4_pARPP21	1	Spine	pARPP21 + CaM_Ca4 <=> CaM_Ca4_pARPP21
R83	ReactionFlux83	kf_R83*B72PP2A_Ca_pARPP21	0	Spine	B72PP2A_Ca_pARPP21 <=> ARPP21 + B72PP2A_Ca
R84	ReactionFlux84	kf_R84*pARPP21*B72PP2A_Ca-kr_R84*B72PP2A_Ca_pARPP21	1	Spine	pARPP21 + B72PP2A_Ca <=> B72PP2A_Ca_pARPP21
R85	ReactionFlux85	kf_R85*B72PP2A_pARPP21	0	Spine	B72PP2A_pARPP21 <=> ARPP21 + B72PP2A
R86	ReactionFlux86	kf_R86*pARPP21*B72PP2A-kr_R86*B72PP2A_pARPP21	1	Spine	pARPP21 + B72PP2A <=> B72PP2A_pARPP21
R87	ReactionFlux87	kf_R87*B56PP2Ap_pARPP21	0	Spine	B56PP2Ap_pARPP21 <=> ARPP21 + B56PP2Ap
R88	ReactionFlux88	kf_R88*pARPP21*B56PP2Ap-kr_R88*B56PP2Ap_pARPP21	1	Spine	pARPP21 + B56PP2Ap <=> B56PP2Ap_pARPP21
R89	ReactionFlux89	kf_R89*B56PP2A_pARPP21	0	Spine	B56PP2A_pARPP21 <=> ARPP21 + B56PP2A
R90	ReactionFlux90	kf_R90*pARPP21*B56PP2A-kr_R90*B56PP2A_pARPP21	1	Spine	pARPP21 + B56PP2A <=> B56PP2A_pARPP21
R91	ReactionFlux91	kf_R91*pSubstrate*PP1-kr_R91*PP1_pSubstrate	1	Spine	pSubstrate + PP1 <=> PP1_pSubstrate
R92	ReactionFlux92	kf_R92*PP1_pSubstrate	0	Spine	PP1_pSubstrate <=> PP1 + Substrate
